title,vid,kind,yid
Wie lang stehst du schon da? 🥤,C65,Clip,3TmdIoVuE1w
Hotel Hardenberg 🏨 ,C64,Clip,Al2yXkQ3HfM
Die schönste Frau der Welt 💋,F14,Folge,YiO-wflbYII
Die Wahrheit über Jonas ,C63,Clip,aaufz2h5f8I
Bügeln und Tripper 🚑 ,C62,Clip,lvrvVmPggDA
Du bist nicht in mich verliebt! ✋,C61,Clip,fNeN-zrMcUQ
Hier geht’s ums Geld! Punkt! 💰 ,C60,Clip,fqaE0w74HQs
Mach mit ihr Schluss!!! 💔- DRUCK ,F13,Folge,JU9Pelm3Rik
Amiras Geheimnis 👀 ,C59,Clip,BK6xp3bB0SA
Nie wieder Alkohol! 🤢 ,C58,Clip,oCIBp5wURJg
Oh Gott! Wo ist Kiki? 😱 ,C57,Clip,pohsjObPid8
3… 2… 1… 💔 ,C56,Clip,KSlHpZkeVFQ
Das sind ganz eindeutig Brüste! ,C55,Clip,5EVk8lk9rmg
Carotinoide und Tinder 🤷‍♀️ ,C54,Clip,oJ6VXhKNXiA
Was sind ONS? ,C53,Clip,tz-ClXd0oXo
"Brüste, Fatshaming & Kakao - DRUCK ",F12,Folge,P1j8HjPKbNI
Axels Geschenk ,C52,Clip,6xj4tu0lFfM
Hetero Hans 🕺,C51,Clip,w0va38ZC0xI
Weihnachts-Flüchtling ,C50,Clip,z4i7xNp0ch4
Carmen besorgt es dir 🐪 ,C49,Clip,wydnpM0lmS0
Fuck! Ihr Geschenk! 😨 ,C48,Clip,HaaxGl9ZBMw
Jungs sind scheiße! ,F11,Folge,IHOY4QbQRwk
Hast du wirklich deine Tage? 😉 ,C47,Clip,YmXfBjxPMBE
"Wenn du ihr weh tust, mach ich dich fertig❗️",C46,Clip,jFEJUrWazlg
Du bist vegan?! 🌱 ,C45,Clip,h3eS46p6tbY
Was für ein Wichser!  ,C44,Clip,ZHAv8_xLCQw
Weihnachtsultra 🎄 ,C43,Clip,38qhoZndV5k
Blowjob von Santa 🎅 ,C42,Clip,GWryMrMUfxA
Sie steht auf ihn ❤️ ,C41,Clip,6LQZhsffVlE
 Partyhelden 🚀,F10,Folge,PEGHE1qUSU0
Party ohne Grund? ,C40,Clip,vtoPuo6WsU0
Ich bin nicht schön genug ,C39,Clip,F0KEGdOtED4
Trotz der vielen Kondome ,C38,Clip,NVKqO9uB7ok
Ich habe sein Baby getötet ,C37,Clip,SBz_grVKCFA
💔💔 ,C36,Clip,LuVQr5uZP8Q
 Abstürze ☠️,F9,Folge,W07AQsVhk2M
Die Cliquenbitch ,C35,Clip,E8q60S_2qeU
Boystalk ,C34,Clip,BN6Q-aeXCPE
Jungs sind solche Pimmel 🍌 ,C33,Clip,lf87douePA0
Chaos statt Klartext ,C32,Clip,uCOG8EPp0QM
 Blutige Drohung ❗,F8,Folge,iBNKKZcVblc
Verpiss dich aus der Schule! ,C31,Clip,Cz51B4HLoGk
"Hanna, wer bist du? ",C30,Clip,HPMvCRwyJM0
Meine muslimische Gangsterwelt ☮☮☮ ,C29,Clip,7qhiXbiKbIY
Ich wünsch` dir noch ein richtig geiles Leben! ,C28,Clip,9WHvsFgf0Ss
" Einmal Schlampe, immer Schlampe!",F7,Folge,5UlnDdqImzc
Verräter 🐍🐍🐍 ,C27,Clip,Jks8Fm3eHTU
Du bist eine dreckige Fotze  😡 ,F26,Folge,4Ybb1rR7OSg
Wir sind geil! 👽😺 ,C25,Clip,2CpKO_gm_jY
"Du bist eine stolze, selbstbewusste Muschi! ✊ ",C24,Clip,n3j73MV9CAw
Es liegt nicht an dir 😔 ,C23,Clip,DpeCc2DXdDc
Sag es niemandem! ,C22,Clip,XolgYFZ_NMg
Wer hat mit Sam rumgemacht? ,C21,Clip,7Uungngey_Y
 Fick dich!,F6,Folge,BtY51KFW890
