city,population,density
Augsburg,292851,1994
Bensheim,40326,697
Berlin,3613495,4052
Bochum,365529,2509
Bonn,325490,2307
Bottrop,117364,1166
Bremen,568006,1745
Bürstadt,16315,473
Dortmund,586600,2090
Dossenheim,12477,881
Dresden,551072,1678
Duisburg,498110,2140
Düsseldorf,617280,2839
Eppelheim,15250,2675
Erfurt,212988,789
Essen,583393,2774
Flensburg,88519,1560
Gelsenkirchen,260305,2480
Gießen,87343,1204
Gütersloh,99315,887
Hamburg,25242,2430
Hamm,179185,791
Heddesheim,11464,779
Heidelberg,160601,1476
Heppenheim,25755,494
Herne,156490,3043
Hockenheim,21739,624
Kaiserslautern,99684,713
Karlsruhe,311919,1798
Kassel,200736,1880
Köln,1080394,2668
Ladenburg,11532,607
Lahr,46156,661
Lampertheim,32609,451
Leipzig,581980,1954
Leverkusen,163577,2074
Lippstadt,67936,598
Ludwigshafen,168497,2173
Mannheim,307997,2125
Marburg,76226,615
Mönchengladbach,262188,1538
München,1456039,4686
Norderstedt,78679,1354
Nürnberg,515201,2764
Oberhausen,211422,2743
Offenburg,59060,754
Potsdam,175710,932
Quickborn,21056,488
Rüsselsheim,64922,1114
Schwetzingen,21546,996
Speyer,50931,1196
Tübingen,89447,827
Weinheim,45114,776
Wiesbaden,278654,1366
Worms,83081,764
Würzburg,126635,1445
